Sample ID,station,Latitude,Longitude,Date,Time,Depth,Sample type,Sample depth,Volume filtered,Acidified,δ13CVPDB (‰),Total C (µg),C Comment,δ15NAir (‰),Total N (µg),N Comment,eventDate
P1,1,48.301,-128.523,19-Feb-19,09:30:00,2300,POM,5,2000,no,-24.94,201.49,NA,4.29,23.79,NA,NA
P2,1,48.301,-128.523,19-Feb-19,09:30:00,2300,POM,5,2000,yes,-25.83,143.26,NA,3.87,19.17,Precision decreases for samples containing less than 20ugN,NA
#3,2,48.183,-129.917,19-Feb-19,19:05:00,2550,POM,5,2000,no,-25.38,113.88,NA,5.09,26.52,NA,NA
#4,2,48.183,-129.917,19-Feb-19,19:05:00,2550,POM,5,2000,yes,-25.98,126.32,NA,4.49,27.3,NA,NA
P3,3,47.667,-136.997,21-Feb-19,20:21:00,4055,POM,5,2000,no,-24.31,161.81,NA,6.12,25.56,NA,NA
P4,3,47.667,-136.997,21-Feb-19,20:21:00,4055,POM,5,2000,yes,-25.08,195.92,NA,5.77,33,NA,NA
P5,4,47.662,-138.5,22-Feb-19,06:30:00,4100,POM,5,2000,no,-24.32,147.41,NA,5.88,24.4,NA,NA
P6,4,47.662,-138.5,22-Feb-19,06:30:00,4100,POM,5,1550,yes,-25.05,140.49,NA,5.34,37.26,NA,NA
P7,5,47.667,-140,22-Feb-19,19:00:00,4100,POM,5,2000,no,-24.98,113.88,NA,2.1,16.86,Precision decreases for samples containing less than 20ugN,NA
P8,5,47.667,-140,22-Feb-19,19:00:00,4100,POM,5,2000,yes,-24.96,110.03,NA,2.68,19.32,Precision decreases for samples containing less than 20ugN,NA
P10,6,47.666,-141.499,23-Feb-19,06:00:00,4200,POM,5,2000,yes,-25.56,116.96,NA,5.58,22.11,NA,NA
P9,6,47.666,-141.499,23-Feb-19,06:00:00,4200,POM,5,2000,no,-23.87,138.81,NA,5.03,21.44,NA,NA
P13,8,47.67,-144.496,23-Feb-19,11:45:00,4500,POM,5,2000,no,-24.58,156.67,NA,3.73,30.74,NA,NA
P14,8,47.67,-144.496,23-Feb-19,11:45:00,4500,POM,5,2000,yes,-25.54,143.36,NA,3.63,25.79,NA,NA
P11,7,47.667,-143,23-Feb-19,15:20:00,4200,POM,5,2000,no,-23.69,137.31,NA,4.67,23.25,NA,NA
P12,7,47.667,-143,23-Feb-19,15:20:00,4200,POM,5,2000,yes,-25.67,139.06,NA,1.62,23.49,NA,NA
P15,9,47.666,-145.866,24-Feb-19,08:15:00,4500,POM,5,2000,no,-24.7,181.88,NA,2.95,29.25,NA,NA
P16,9,47.666,-145.866,24-Feb-19,08:15:00,4500,POM,5,2000,yes,-25.96,168.51,NA,2.45,46.15,NA,NA
