Sample ID,station,Latitude,Longitude,Date,Time,Depth,Sample type,Sample depth,Volume filtered,Acidified,δ13CVPDB (‰),Total C (µg),C Comment,δ15NAir (‰),Total N (µg),N Comment
P1,1,48.301,-128.523,19-Feb-19,9:30,2300,POM,5,2000,no,-24.94,201.49,,4.29,23.79,
P2,1,48.301,-128.523,19-Feb-19,9:30,2300,POM,5,2000,yes,-25.83,143.26,,3.87,19.17,Precision decreases for samples containing less than 20ugN
#3,2,48.183,-129.917,19-Feb-19,19:05,2550,POM,5,2000,no,-25.38,113.88,,5.09,26.52,
#4,2,48.183,-129.917,19-Feb-19,19:05,2550,POM,5,2000,yes,-25.98,126.32,,4.49,27.30,
P3,3,47.667,-136.997,21-Feb-19,20:21,4055,POM,5,2000,no,-24.31,161.81,,6.12,25.56,
P4,3,47.667,-136.997,21-Feb-19,20:21,4055,POM,5,2000,yes,-25.08,195.92,,5.77,33.00,
P5,4,47.662,-138.500,22-Feb-19,6:30,4100,POM,5,2000,no,-24.32,147.41,,5.88,24.40,
P6,4,47.662,-138.500,22-Feb-19,6:30,4100,POM,5,1550,yes,-25.05,140.49,,5.34,37.26,
P7,5,47.667,-140.000,22-Feb-19,19:00,4100,POM,5,2000,no,-24.98,113.88,,2.10,16.86,Precision decreases for samples containing less than 20ugN
P8,5,47.667,-140.000,22-Feb-19,19:00,4100,POM,5,2000,yes,-24.96,110.03,,2.68,19.32,Precision decreases for samples containing less than 20ugN
P10,6,47.666,-141.499,23-Feb-19,6:00,4200,POM,5,2000,yes,-25.56,116.96,,5.58,22.11,
P9,6,47.666,-141.499,23-Feb-19,6:00,4200,POM,5,2000,no,-23.87,138.81,,5.03,21.44,
P13,8,47.670,-144.496,23-Feb-19,11:45,4500,POM,5,2000,no,-24.58,156.67,,3.73,30.74,
P14,8,47.670,-144.496,23-Feb-19,11:45,4500,POM,5,2000,yes,-25.54,143.36,,3.63,25.79,
P11,7,47.667,-143.000,23-Feb-19,15:20,4200,POM,5,2000,no,-23.69,137.31,,4.67,23.25,
P12,7,47.667,-143.000,23-Feb-19,15:20,4200,POM,5,2000,yes,-25.67,139.06,,1.62,23.49,
P15,9,47.666,-145.866,24-Feb-19,8:15,4500,POM,5,2000,no,-24.70,181.88,,2.95,29.25,
P16,9,47.666,-145.866,24-Feb-19,8:15,4500,POM,5,2000,yes,-25.96,168.51,,2.45,46.15,
P17,10,47.667,-147.500,24-Feb-19,16:50,4600,POM,5,2000,no,-24.89,152.62,,4.05,22.45,
P18,10,47.667,-147.500,24-Feb-19,16:50,4600,POM,5,2000,yes,-25.74,142.62,,3.17,26.05,
P19,11,48.668,-147.500,25-Feb-19,2:05,4700,POM,5,2000,no,-24.84,131.78,,1.65,20.74,
P20,11,48.668,-147.500,25-Feb-19,2:05,4700,POM,5,2000,yes,-25.33,111.96,,1.62,21.68,
P21,12,49.667,-147.500,25-Feb-19,11:15,4800,POM,5,2000,no,-24.32,124.35,,1.61,19.70,Precision decreases for samples containing less than 20ugN
P22,12,49.667,-147.500,25-Feb-19,11:15,4800,POM,5,2000,yes,-26.19,109.90,,-0.55,20.65,
P23,13,50.667,-147.500,25-Feb-19,20:36,4800,POM,5,2000,no,-25.83,103.99,,1.90,42.51,
P24,13,50.667,-147.500,25-Feb-19,20:36,4800,POM,5,2000,yes,-26.16,107.18,,0.97,20.91,
P25,14,51.666,-147.501,26-Feb-19,5:15,4200,POM,5,2000,no,-23.91,120.51,,2.95,18.66,Precision decreases for samples containing less than 20ugN
